mousePointsCount,avgSpeed,speedStdDev,accelStdDev,jitterCount,angleStd,diffScore,hoverTime,hesitation,clickLatency,clickOffset,isChecked,label
96,0.3274204761109628,0.4544819774265104,0.3283508550242616,38,0.7737644388653222,2.239260349355804,785,233,635,82.518788898289,1,0
113,0.8131986623139655,1.90909362434224,0.907306228598858,43,0.681257673153852,0.6801527415299452,784,407,636,129.16288302117582,1,0
60,0.1521633749689706,0.135211771978038,0.0733378844443099,7,0.9353807528005582,1.7354780556087794,0,19,0,43.47465782272178,1,1
116,0.2606461661776412,0.3517738342004121,0.2295896768710823,53,0.9727164625232856,1.5296873621572644,1133,213,0,44.59678982757735,1,0
59,0.1702471087626396,0.1604588467177707,0.0949181993649779,8,1.0375972668730282,1.1253834299124987,0,15,0,40.99019213714959,0,1
369,0.4405678761925717,0.6867492513143296,0.4783906290312107,89,0.3957295503017373,0.8171276171721175,1101,465,0,49.4935881137602,1,0
62,0.1494796557181765,0.1371997317639554,0.0704246517410499,12,0.3601423845590965,1.882840390376997,1350,16,0,41.95885910679597,1,1
676,0.5436087657626267,1.28936586063895,1.012195085270823,224,0.6338771231479321,0.69046386302785,1614,2,588,166.69208449694213,1,0
57,0.1526697661262297,0.135750682394136,0.0722935425681238,7,1.3342657960966775,1.0736431964394844,0,15,0,42.70006867878961,0,1
61,0.1101473644038587,0.0656714613871719,0.0387349062200636,0,0.5048622937886095,0.2655239466005365,0,1066,0,187.4717895623603,1,1
114,0.4761943466578472,0.757843456438922,0.4008295551002676,34,0.6175438469681727,1.317086813043148,1134,214,696,133.3763501892111,1,0
151,0.1775905225825902,0.1767967578268613,0.218901941024623,55,1.3999479241989423,0.5771611394660511,61,17,0,44.1457344284259,0,1
171,0.3628106895670376,0.8822177722043799,0.8261845110761374,50,0.7553135843696551,0.665107462215229,1766,37125,819,45.60258579174932,1,0
338,0.9466863044902672,1.4844592776287775,0.9933302424349904,79,0.657146379879573,1.5168755401474352,0,313,0,45.023281580751295,1,0
126,0.1874916667565415,0.218179146180786,0.1902449297792547,50,0.9026250438746862,0.9360108736352906,0,696,0,50.6277666203139,1,0
62,0.1681905887414148,0.173477055602143,0.1935241224680534,9,1.103666295557913,1.898736577803172,0,15,0,41.72464330668189,1,1
171,0.2306361292582447,0.2918819673174933,0.1728632842285195,68,0.8869458652841934,0.712167554433503,3217,588,2395,42.5321615035995,1,0
194,0.6547553327972079,1.5480684268737392,0.8421355435411517,66,0.7660521694764011,1.498314712074024,1972,248,0,46.82456993862117,1,0
60,0.034848481099682,0.0172068102537981,0.0217856889064666,6,0.9290045741595248,2.761724292106901,0,15,0,40.750409236795626,0,1
32,0.2614183713094266,0.0856237488094671,0.1121124062662221,1,0.4030280732605599,1.5863881406720557,0,11,0,35.80776234018324,0,1
63,0.0795270133477915,0.0451049552254057,0.0354104686347734,2,0.6382808283611499,1.8019958775235407,0,20,0,188.98219984247152,1,1
60,0.1497967026365333,0.1362833780510026,0.0705610042678246,6,1.266098256921686,1.6964637524200126,1368,18,0,43.90040853740414,1,1
62,0.1538667678721325,0.1429815568085966,0.0634929714032124,11,1.1902307699594612,1.5267738744917685,1334,14,0,41.72464330668189,1,1
